18	42	5
18	43	4
18	44	2
18	45	5
18	46	8
18	47	12
18	48	4
18	49	3
18	50	6
18	52	6
19	20	1
19	21	1
19	25	1
19	27	1
19	28	1
19	29	1
19	31	1
19	32	1
19	34	3
19	35	1
19	38	2
19	39	1
19	40	1
19	42	1
19	43	1
19	47	1
19	48	1
19	49	1
19	51	1
20	21	2
20	25	2
20	27	1
20	28	1
20	31	1
20	32	1
20	33	1
20	37	1
20	40	1
20	42	2
20	45	1
20	46	1
20	48	2
20	50	3
20	51	1
20	52	1
21	22	2
21	23	1
21	24	1
21	25	6
21	26	3
21	27	9
21	29	2
21	30	4
21	31	10
21	32	3
21	34	5
21	35	3
21	36	7
21	37	5
21	38	3
21	39	4
21	40	11
21	41	1
21	42	6
21	43	3
21	44	5
21	45	3
21	46	4
21	47	10
21	48	3
21	49	3
21	50	16
21	51	2
21	52	3
22	23	1
22	25	4
22	26	2
22	27	1
22	30	2
22	31	2
22	32	2
22	33	1
22	36	1
22	37	1
22	39	1
22	40	3
22	42	3
22	44	1
22	46	1
22	47	5
22	48	2
22	49	1
22	52	2
23	26	3
23	29	1
23	30	1
23	32	1
23	36	2
23	37	1
23	39	1
23	40	2
23	43	1
23	44	1
23	45	1
23	47	2
23	49	3
23	50	3
24	27	1
24	29	1
24	40	1
24	44	1
24	46	1
24	47	2
24	48	1
24	52	1
25	27	2
25	28	1
25	30	3
25	31	1
25	32	1
25	33	1
25	34	1
25	35	1
25	37	1
25	39	1
25	40	3
25	41	1
25	42	4
25	43	1
25	47	3
25	50	5
25	51	1
26	30	1
26	31	1
26	33	1
26	34	1
26	39	1
26	40	4
26	42	1
26	43	2
26	46	1
26	47	2
26	48	1
26	50	4
27	31	1
27	36	2
27	38	1
27	40	3
27	42	3
27	47	1
27	50	1
28	31	1
28	32	2
28	34	1
28	36	1
28	40	1
28	42	1
28	46	1
28	47	1
28	50	1
29	31	1
29	36	1
29	37	1
29	40	1
29	42	1
29	43	2
29	44	1
29	45	1
29	47	3
30	37	2
30	40	1
30	42	1
30	48	1
30	50	1
30	51	3
31	32	3
31	33	1
31	34	1
31	35	3
31	36	3
31	37	2
31	39	2
31	40	1
31	42	2
31	44	1
31	45	2
31	46	1
31	47	5
31	48	1
31	50	3
31	52	1
32	39	1
32	44	1
32	45	1
32	49	1
32	50	2
32	52	2
33	36	1
33	39	1
33	40	1
33	43	1
33	47	1
33	49	2
34	35	3
34	38	2
34	39	2
34	40	3
34	42	1
34	43	2
34	47	2
34	49	2
34	50	1
34	51	3
35	36	1
35	38	4
35	43	1
35	47	1
35	50	1
36	37	3
36	40	3
36	42	6
36	44	1
36	45	1
36	46	1
36	48	3
36	49	1
36	52	2
37	46	1
37	48	1
37	50	1
37	52	1
38	42	1
38	45	1
38	47	3
39	40	1
39	42	1
39	47	3
39	49	2
39	50	2
39	52	2
40	41	1
40	42	3
40	43	2
40	44	1
40	45	1
40	46	1
40	47	1
40	49	4
40	50	6
40	51	2
41	46	1
